"P002050","P002051","P002052","P002053","P002054","P002055","P002056","P002057","P002058","P002059","P002060","P002061","P002062","P002063","P002064","P002065","P002066","P002067","P002068","P002069","P002070","P002071","P002072","P002073","P002049","GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","P002007","P002008","P002009","P002010","P002011","P002012","P002013","P002014","P002015","P002016","P002017","P002018","P002019","P002020","P002021","P002022","P002023","P002024","P002025","P002026","P002027","P002028","P002029","P002030","P002031","P002032","P002033","P002034","P002035","P002036","P002037","P002038","P002039","P002040","P002041","P002042","P002043","P002044","P002045","P002046","P002047","P002048","NAME"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139401","2645","582","2063","1928","1586","129","12","181","9","11","135","122","20","9","75","3","2","3","4","0","1","0","0","0","5","0","0","13","5","5","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1394.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139402","2851","148","2703","2583","2413","38","5","120","0","7","120","116","13","6","70","9","3","0","3","0","2","0","0","1","0","9","0","4","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1394.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139502","3007","259","2748","2537","2325","46","0","152","6","8","211","205","8","10","164","8","12","0","3","0","0","0","0","0","0","0","0","6","1","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1395.02, Los Angeles County, California"
"0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037139503","4657","537","4120","3877","3420","173","4","259","2","19","243","234","14","4","171","16","19","0","3","0","4","0","0","0","2","1","0","7","3","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1395.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139504","3476","343","3133","2935","2653","125","3","147","3","4","198","190","14","4","142","17","7","0","3","0","1","1","0","0","0","1","0","8","3","0","0","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1395.04, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139600","4633","393","4240","4072","3594","170","7","294","6","1","168","156","29","9","95","3","5","5","4","0","1","0","0","0","0","5","0","12","2","2","0","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1396, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139701","4920","319","4601","4483","4091","91","3","287","3","8","118","113","15","1","79","7","3","0","0","0","0","0","0","0","2","6","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1397.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139702","6250","272","5978","5740","5361","83","6","275","5","10","238","228","15","7","189","9","1","0","3","0","0","0","0","0","3","1","0","10","3","3","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1397.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139703","2943","129","2814","2680","2477","49","0","148","3","3","134","125","1","5","100","4","4","1","7","2","0","0","0","0","1","0","0","9","7","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1397.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037139801","3539","126","3413","3296","3099","45","1","147","2","2","117","115","7","6","82","7","7","2","2","0","0","0","0","0","1","1","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1398.01, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037139802","3865","178","3687","3543","3225","85","0","231","0","2","144","130","15","1","110","1","1","0","0","0","0","0","0","0","2","0","0","13","0","8","0","0","1","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","Census Tract 1398.02, Los Angeles County, California"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2","1400000US06037141101","4066","490","3576","3419","2891","197","11","300","7","13","157","133","47","9","57","6","2","2","2","0","0","0","0","0","5","3","0","21","4","9","2","0","2","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","Census Tract 1411.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037141102","2869","325","2544","2466","2135","142","3","169","0","17","78","68","14","3","37","1","3","1","4","0","0","0","0","0","3","2","0","10","2","2","0","0","0","0","0","2","1","0","3","0","0","0","0","0","0","0","0","0","Census Tract 1411.02, Los Angeles County, California"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037141201","3707","593","3114","2993","2497","249","3","237","3","4","121","106","35","4","46","4","5","1","7","0","0","1","0","0","2","1","0","13","6","4","0","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1412.01, Los Angeles County, California"
"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037141202","2800","253","2547","2445","2181","107","0","144","2","11","102","93","14","4","59","0","2","1","8","0","4","1","0","0","0","0","0","8","3","2","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1412.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037141302","5504","646","4858","4670","3880","302","8","457","6","17","188","178","18","10","117","4","3","6","13","0","0","3","0","0","0","4","0","10","4","1","2","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","Census Tract 1413.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037141303","3089","411","2678","2584","2161","172","3","237","0","11","94","91","20","6","52","3","4","2","0","0","3","0","0","0","1","0","0","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","Census Tract 1413.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037141304","2738","236","2502","2402","2100","112","4","170","8","8","100","92","8","10","59","1","3","2","6","1","0","1","0","0","1","0","0","8","3","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1413.04, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037141400","4412","411","4001","3882","3459","148","3","253","4","15","119","112","18","6","67","8","4","7","0","0","0","0","0","0","0","2","0","6","3","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","Census Tract 1414, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037141500","2984","160","2824","2742","2520","42","0","163","1","16","82","81","3","4","62","5","0","0","1","0","0","0","0","0","0","6","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1415, Los Angeles County, California"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1400000US06037141600","4029","219","3810","3703","3379","88","2","231","0","3","107","103","11","7","76","1","3","0","2","0","0","0","0","0","2","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1416, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037141700","3091","156","2935","2836","2573","72","1","176","2","12","99","93","17","5","59","1","2","2","6","0","1","0","0","0","0","0","0","6","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1417, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037143100","3984","490","3494","3398","2988","168","8","225","3","6","96","88","16","14","40","0","3","4","7","0","1","0","0","0","3","0","0","8","4","0","0","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1431, Los Angeles County, California"
"1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2","1400000US06037143200","3743","705","3038","2900","2285","294","9","301","2","9","138","124","38","16","40","6","4","7","7","0","1","0","0","0","4","1","0","11","7","0","0","0","0","0","0","2","1","1","0","0","0","0","0","0","0","0","0","0","Census Tract 1432, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037143300","5871","927","4944","4752","4117","256","9","356","0","14","192","182","42","16","80","7","9","9","6","0","1","0","2","0","5","5","0","10","3","2","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1433, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037143400","5881","596","5285","5106","4533","220","8","306","1","38","179","162","32","32","72","3","3","3","8","0","2","1","0","0","2","4","0","17","5","1","0","2","1","2","0","5","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1434, Los Angeles County, California"
"0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1400000US06037143500","4708","383","4325","4191","3723","164","10","281","3","10","134","116","22","12","61","3","6","1","7","0","0","0","0","0","4","0","0","12","6","4","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1435, Los Angeles County, California"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037143602","4260","348","3912","3790","3291","173","12","300","3","11","122","108","25","15","53","0","0","3","4","0","3","0","0","0","1","4","0","12","4","2","0","1","2","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","Census Tract 1436.02, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037143603","2222","277","1945","1877","1593","108","6","157","0","13","68","63","17","7","26","1","0","5","0","0","0","0","0","0","5","2","0","4","1","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1436.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037143604","3205","413","2792","2655","1964","294","12","372","8","5","137","129","34","10","55","6","8","1","7","1","0","0","0","0","4","3","0","8","4","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1436.04, Los Angeles County, California"
"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037143700","3748","265","3483","3372","2927","156","4","264","2","19","111","105","20","15","54","3","6","1","2","0","1","1","0","0","0","2","0","5","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1437, Los Angeles County, California"
"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037143800","4878","355","4523","4363","3856","181","5","311","3","7","160","147","37","9","89","1","2","2","5","0","1","0","0","0","1","0","0","12","6","0","0","2","1","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1438, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037143901","4068","244","3824","3695","3375","66","2","234","5","13","129","128","16","7","93","3","5","0","1","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1439.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037143902","3000","218","2782","2706","2438","97","5","158","0","8","76","75","17","8","38","1","2","3","1","0","1","0","0","0","1","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1439.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037181000","6144","1695","4449","4280","2565","93","20","1583","6","13","169","157","17","22","80","4","5","2","7","0","0","0","0","0","2","18","0","12","3","2","0","0","3","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1810, Los Angeles County, California"
"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037181300","3629","1209","2420","2326","1146","80","6","1085","4","5","94","89","10","9","54","1","3","1","3","0","0","0","0","0","7","1","0","4","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1813, Los Angeles County, California"
"1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037181400","4302","1536","2766","2658","1262","100","7","1278","1","10","108","95","18","13","44","1","1","0","5","4","0","3","0","0","2","4","0","11","5","1","0","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1814, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037181500","3812","1607","2205","2089","1198","53","17","812","3","6","116","112","8","12","74","5","0","0","1","0","0","2","0","0","3","7","0","4","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","Census Tract 1815, Los Angeles County, California"
"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037181600","4352","1591","2761","2582","1582","87","16","880","7","10","179","164","12","11","110","5","0","4","5","0","0","0","0","1","8","8","0","14","2","3","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1816, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183101","3922","2607","1315","1248","817","71","17","329","4","10","67","62","8","7","36","1","2","0","1","0","4","0","0","0","1","2","0","5","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1831.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1400000US06037183103","3967","2897","1070","1007","452","112","20","408","2","13","63","57","18","11","16","0","1","0","6","0","0","1","0","0","4","0","0","5","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","2","0","0","Census Tract 1831.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183104","2065","1079","986","939","465","54","4","409","2","5","47","42","2","3","25","2","7","1","0","0","0","0","0","0","0","0","2","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","2","Census Tract 1831.04, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183220","4114","3072","1042","1012","356","57","9","567","4","19","30","25","9","1","13","1","1","0","0","0","0","0","0","0","0","0","0","5","4","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1832.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183221","3118","2062","1056","1014","654","83","11","260","5","1","42","42","7","6","15","0","3","0","0","3","0","0","0","1","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1832.21, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037183222","3483","1712","1771","1677","924","102","13","626","3","9","94","88","13","12","33","5","3","8","6","0","0","3","0","0","2","3","0","5","2","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1832.22, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183300","3480","2504","976","946","304","16","7","602","2","15","30","29","3","1","18","0","2","0","2","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1833, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183401","2543","1565","978","934","398","34","10","486","2","4","44","42","3","1","22","1","3","0","1","0","0","0","0","0","6","5","0","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1834.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183402","2820","1326","1494","1455","505","46","1","892","5","6","39","38","3","1","22","0","1","0","1","0","0","5","0","0","3","2","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1834.02, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037183510","2725","2131","594","564","303","18","6","235","0","2","30","27","2","8","13","0","0","1","0","0","0","0","0","0","0","3","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1835.10, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183520","3881","3314","567","544","340","50","7","137","3","7","23","21","5","8","3","0","0","0","0","1","0","0","0","0","3","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1835.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183610","3275","2641","634","596","270","65","7","237","2","15","38","34","6","6","6","0","2","1","0","0","0","0","9","0","4","0","0","4","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1836.10, Los Angeles County, California"
"0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037183620","3264","2409","855","817","404","37","13","355","1","7","38","35","8","2","18","1","1","1","0","0","0","1","0","0","2","1","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1836.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183701","3922","3260","662","625","321","106","16","178","0","4","37","32","9","0","13","0","0","1","6","1","1","0","0","0","1","0","0","5","1","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","Census Tract 1837.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183702","2805","1620","1185","1138","454","113","8","557","1","5","47","46","7","6","20","0","2","0","6","0","0","0","0","0","2","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1837.02, Los Angeles County, California"
"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037183810","4369","3825","544","493","276","53","5","155","3","1","51","44","13","10","10","0","0","2","3","0","2","1","0","0","3","0","0","6","2","0","0","0","2","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","Census Tract 1838.10, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037183820","3464","3053","411","396","178","55","5","146","3","9","15","14","3","2","5","0","2","0","1","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1838.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1400000US06037185100","6295","3340","2955","2807","1992","165","13","619","4","14","148","135","25","13","77","1","4","3","5","0","1","1","0","0","2","3","0","12","6","2","1","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","Census Tract 1851, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037185202","3712","2377","1335","1275","889","113","9","250","1","13","60","52","7","5","22","1","1","3","4","0","3","0","0","1","1","4","0","8","5","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1852.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037185203","3200","2712","488","472","237","42","4","184","0","5","16","15","2","3","4","1","0","2","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1852.03, Los Angeles County, California"
"0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037185204","2091","896","1195","1132","581","54","1","492","1","3","63","50","5","3","34","0","1","1","4","0","0","0","0","0","2","0","0","11","0","1","0","0","1","0","0","6","2","0","0","0","0","0","0","0","1","0","0","0","Census Tract 1852.04, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037185310","3061","2754","307","300","93","14","8","180","0","5","7","6","1","1","0","1","1","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1853.10, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037185320","3081","2774","307","293","113","17","5","155","0","3","14","13","2","1","8","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1853.20, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037186100","4715","1648","3067","2931","1430","64","8","1407","8","14","136","129","9","10","84","4","2","1","7","0","0","1","0","0","3","8","0","7","1","2","0","0","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","Census Tract 1861, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","1","1400000US06037186201","3068","1299","1769","1716","475","67","17","1147","1","9","53","46","3","1","15","1","1","2","5","0","0","0","0","0","2","16","0","5","2","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1862.01, Los Angeles County, California"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1400000US06037186202","1974","886","1088","1058","315","40","1","695","2","5","30","28","1","4","13","1","0","1","2","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1862.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037186203","2936","1453","1483","1392","905","58","1","410","1","17","91","82","7","6","44","1","3","1","3","0","5","1","0","0","6","1","4","9","5","1","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","Census Tract 1862.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037186301","2999","2205","794","755","378","76","1","297","2","1","39","38","5","4","13","0","2","0","2","0","0","0","0","0","9","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1863.01, Los Angeles County, California"
"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037186302","5198","2864","2334","2227","1098","97","11","1004","4","13","107","99","15","5","55","0","5","2","5","4","1","0","0","0","3","4","0","7","1","3","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","0","0","Census Tract 1863.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037186401","3452","2856","596","571","109","23","0","432","2","5","25","24","0","0","7","0","1","0","3","0","4","0","0","0","2","7","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1864.01, Los Angeles County, California"
"4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1400000US06037186403","2899","2078","821","795","181","28","3","579","4","0","26","22","1","4","12","0","1","0","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1864.03, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037186404","2471","1925","546","534","175","14","4","334","0","7","12","11","2","0","8","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1864.04, Los Angeles County, California"
"1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037187101","3235","1459","1776","1695","852","36","11","785","5","6","81","77","3","14","39","1","2","0","2","0","0","4","0","0","10","2","0","3","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1871.01, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037187102","3254","1954","1300","1263","522","45","4","681","5","6","37","36","1","1","18","0","1","1","0","0","0","0","0","0","5","9","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1871.02, Los Angeles County, California"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1400000US06037187200","3132","2389","743","695","279","30","4","379","3","0","48","47","6","2","13","0","0","1","7","0","0","8","0","0","5","5","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1872, Los Angeles County, California"
"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1400000US06037187300","3216","751","2465","2348","1639","90","6","600","5","8","117","111","18","11","56","4","2","3","6","0","2","0","0","0","5","4","0","5","3","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Census Tract 1873, Los Angeles County, California"
