"B25063_001E","B25063_001M","B25063_002E","B25063_002M","B25063_003E","B25063_003M","B25063_004E","B25063_004M","B25063_005E","B25063_005M","B25063_006E","B25063_006M","B25063_007E","B25063_007M","B25063_008E","B25063_008M","B25063_009E","B25063_009M","B25063_010E","B25063_010M","B25063_011E","B25063_011M","B25063_012E","B25063_012M","B25063_013E","B25063_013M","B25063_014E","B25063_014M","B25063_015E","B25063_015M","B25063_016E","B25063_016M","B25063_017E","B25063_017M","B25063_018E","B25063_018M","B25063_019E","B25063_019M","B25063_020E","B25063_020M","B25063_021E","B25063_021M","B25063_022E","B25063_022M","B25063_023E","B25063_023M","B25063_024E","B25063_024M","B25063_025E","B25063_025M","B25063_026E","B25063_026M","B25063_027E","B25063_027M","GEO_ID","NAME"
"1218","235","1206","234","0","19","0","19","0","19","0","19","0","19","0","19","0","19","38","61","0","19","22","32","0","19","16","26","0","19","0","19","37","61","63","87","41","68","25","31","179","111","264","141","393","206","77","72","51","70","0","19","12","20","1400000US06037132102","Census Tract 1321.02, Los Angeles County, California"
"1248","175","1236","175","0","13","0","13","0","13","16","27","147","109","35","39","17","29","0","13","0","13","0","13","0","13","88","64","87","87","0","13","0","13","0","13","14","30","369","121","236","145","171","94","56","68","0","13","0","13","0","13","12","19","1400000US06037132301","Census Tract 1323.01, Los Angeles County, California"
"568","197","548","197","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","228","150","5","12","167","77","70","61","78","125","0","13","0","13","20","31","1400000US06037132302","Census Tract 1323.02, Los Angeles County, California"
"674","148","674","148","0","13","0","13","0","13","0","13","0","13","10","16","0","13","0","13","0","13","0","13","0","13","11","17","0","13","12","19","30","48","30","50","37","33","91","66","134","81","157","106","85","64","47","37","30","40","0","13","0","13","1400000US06037132501","Census Tract 1325.01, Los Angeles County, California"
"598","131","556","131","0","13","15","23","6","9","9","14","0","13","36","60","13","19","7","10","0","13","0","13","36","47","0","13","10","16","0","13","10","17","0","13","5","9","20","17","63","36","141","73","46","44","108","57","31","36","0","13","42","46","1400000US06037132502","Census Tract 1325.02, Los Angeles County, California"
"605","123","605","123","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","18","0","13","26","40","0","13","0","13","0","13","0","13","0","13","11","17","22","26","242","97","96","71","103","80","50","46","17","28","29","25","0","13","0","13","1400000US06037132700","Census Tract 1327, Los Angeles County, California"
"544","94","544","94","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","23","38","48","42","30","34","145","80","157","82","45","31","41","38","55","40","0","13","1400000US06037132900","Census Tract 1329, Los Angeles County, California"
"413","143","364","132","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","30","9","16","11","18","35","43","88","64","99","73","72","88","0","13","32","39","49","62","1400000US06037133000","Census Tract 1330, Los Angeles County, California"
"241","77","223","70","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","11","18","27","32","117","56","44","47","0","13","24","36","0","13","18","28","1400000US06037133101","Census Tract 1331.01, Los Angeles County, California"
"946","128","946","128","0","13","0","13","0","13","0","13","151","60","0","13","25","22","12","20","0","13","0","13","0","13","0","13","13","20","24","37","0","13","39","33","0","13","118","51","48","47","409","126","23","27","20","25","30","35","34","28","0","13","1400000US06037133102","Census Tract 1331.02, Los Angeles County, California"
"604","81","583","82","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","11","16","0","13","128","65","150","50","233","76","22","24","17","27","0","13","22","26","21","22","1400000US06037134001","Census Tract 1340.01, Los Angeles County, California"
"681","138","673","139","0","13","0","13","0","13","9","13","36","59","0","13","9","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","40","27","248","99","72","68","136","92","59","40","4","7","60","56","0","13","8","13","1400000US06037134002","Census Tract 1340.02, Los Angeles County, California"
"576","145","576","145","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","11","17","0","19","0","19","0","19","0","19","0","19","139","104","118","80","173","120","55","68","27","32","53","64","0","19","0","19","1400000US06037134101","Census Tract 1341.01, Los Angeles County, California"
"587","146","587","146","0","13","0","13","11","18","0","13","0","13","0","13","0","13","0","13","0","13","10","17","0","13","0","13","8","14","0","13","0","13","60","77","36","37","159","94","71","59","120","113","41","45","4","7","67","52","0","13","0","13","1400000US06037134103","Census Tract 1341.03, Los Angeles County, California"
"718","112","710","112","0","13","0","13","0","13","25","40","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","14","0","13","0","13","5","11","0","13","40","46","182","82","146","84","206","77","78","79","18","26","1","2","0","13","8","15","1400000US06037134104","Census Tract 1341.04, Los Angeles County, California"
"285","99","285","99","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","25","83","56","63","58","0","13","42","44","0","13","58","64","23","36","0","13","1400000US06037134201","Census Tract 1342.01, Los Angeles County, California"
"288","127","265","125","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","11","17","21","24","39","38","21","34","75","90","69","50","29","29","23","35","1400000US06037134302","Census Tract 1343.02, Los Angeles County, California"
"498","222","486","222","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","10","15","0","19","0","19","0","19","0","19","8","13","34","31","9","16","130","75","125","90","64","58","97","143","9","16","12","18","1400000US06037134303","Census Tract 1343.03, Los Angeles County, California"
"335","153","313","154","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","17","28","106","135","57","43","5","9","15","14","71","38","42","39","22","29","1400000US06037134304","Census Tract 1343.04, Los Angeles County, California"
"1222","221","1212","223","0","13","0","13","0","13","0","13","27","41","0","13","0","13","0","13","0","13","0","13","0","13","0","13","26","21","0","13","28","46","0","13","84","61","121","66","486","216","431","116","9","14","0","13","0","13","0","13","10","16","1400000US06037134305","Census Tract 1343.05, Los Angeles County, California"
"1148","260","1148","260","0","13","0","13","7","11","0","13","15","17","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","6","10","0","13","0","13","66","46","189","115","281","174","270","169","227","112","87","55","0","13","0","13","0","13","1400000US06037134306","Census Tract 1343.06, Los Angeles County, California"
"155","136","155","136","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","17","0","13","0","13","0","13","0","13","0","13","145","134","0","13","1400000US06037134421","Census Tract 1344.21, Los Angeles County, California"
"263","123","258","124","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","70","114","0","13","0","13","12","18","0","13","0","13","0","13","17","19","36","52","39","41","84","46","5","10","1400000US06037134422","Census Tract 1344.22, Los Angeles County, California"
"356","268","336","266","0","13","9","14","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","50","49","0","13","0","13","0","13","44","40","0","13","0","13","9","15","0","13","24","29","30","23","170","253","20","32","1400000US06037134423","Census Tract 1344.23, Los Angeles County, California"
"107","94","107","94","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","13","3","5","12","18","83","92","0","13","1400000US06037134424","Census Tract 1344.24, Los Angeles County, California"
"1720","263","1698","262","0","19","0","19","0","19","23","38","0","19","7","10","0","19","9","14","0","19","0","19","0","19","9","14","28","32","55","42","15","23","254","177","102","61","233","93","318","98","542","189","57","43","36","40","10","16","0","19","22","27","1400000US06037134520","Census Tract 1345.20, Los Angeles County, California"
"647","75","641","78","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","27","42","0","13","3","4","0","13","159","64","68","38","288","74","43","35","53","24","0","13","0","13","6","11","1400000US06037134521","Census Tract 1345.21, Los Angeles County, California"
"1177","176","1177","176","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","13","0","13","0","13","17","27","0","13","0","13","17","28","15","24","188","71","291","102","251","85","131","126","132","60","46","47","0","13","81","116","0","13","1400000US06037134522","Census Tract 1345.22, Los Angeles County, California"
"1337","138","1337","138","0","19","0","19","0","19","18","28","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","25","38","0","19","0","19","0","19","126","83","358","100","186","92","538","146","47","48","0","19","29","33","10","16","0","19","1400000US06037134710","Census Tract 1347.10, Los Angeles County, California"
"830","157","774","130","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","23","35","0","19","10","16","0","19","0","19","41","47","83","57","144","80","242","119","96","66","55","49","51","36","29","33","56","90","1400000US06037134720","Census Tract 1347.20, Los Angeles County, California"
"356","113","336","114","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","47","40","59","42","29","38","116","69","39","40","46","53","0","13","20","23","1400000US06037134801","Census Tract 1348.01, Los Angeles County, California"
"211","99","191","97","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","26","30","0","13","0","13","75","76","11","17","20","18","59","51","20","21","1400000US06037134802","Census Tract 1348.02, Los Angeles County, California"
"355","90","336","87","0","13","0","13","0","13","0","13","9","14","0","13","0","13","0","13","9","14","0","13","0","13","0","13","0","13","0","13","0","13","19","22","0","13","133","67","66","47","29","36","28","40","20","23","23","35","0","13","19","22","1400000US06037134901","Census Tract 1349.01, Los Angeles County, California"
"824","161","814","160","0","13","0","13","0","13","0","13","7","11","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","12","0","13","0","13","0","13","176","89","242","143","204","111","50","41","27","36","57","48","30","36","13","19","10","14","1400000US06037134904","Census Tract 1349.04, Los Angeles County, California"
"2293","449","2251","451","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","25","40","0","19","0","19","120","72","891","195","909","477","198","118","108","97","42","52","1400000US06037134905","Census Tract 1349.05, Los Angeles County, California"
"1135","68","1135","68","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","19","31","0","13","33","39","276","82","127","78","566","128","64","60","28","45","22","32","0","13","0","13","1400000US06037134906","Census Tract 1349.06, Los Angeles County, California"
"1523","355","1523","355","45","71","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","17","28","18","28","343","215","614","188","486","264","0","13","0","13","0","13","1400000US06037134907","Census Tract 1349.07, Los Angeles County, California"
"152","78","152","78","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","11","18","0","13","42","29","9","16","72","62","18","21","0","13","1400000US06037135102","Census Tract 1351.02, Los Angeles County, California"
"533","176","437","93","0","13","0","13","0","13","0","13","12","20","8","14","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","16","19","125","73","71","52","103","60","20","27","54","55","28","30","96","147","1400000US06037135111","Census Tract 1351.11, Los Angeles County, California"
"1094","176","1094","176","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","9","15","208","96","282","117","401","162","105","69","89","45","0","13","1400000US06037135113","Census Tract 1351.13, Los Angeles County, California"
"1233","133","1233","133","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","23","0","13","0","13","0","13","125","103","591","151","344","139","159","91","0","13","0","13","0","13","1400000US06037135115","Census Tract 1351.15, Los Angeles County, California"
"957","336","919","342","0","13","0","13","14","24","93","90","72","79","0","13","0","13","96","72","0","13","13","21","12","19","0","13","0","13","0","13","0","13","0","13","0","13","41","43","0","13","238","96","285","346","44","29","11","24","0","13","38","65","1400000US06037135116","Census Tract 1351.16, Los Angeles County, California"
"192","52","188","51","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","23","41","36","20","19","51","33","58","37","4","6","1400000US06037135201","Census Tract 1352.01, Los Angeles County, California"
"324","138","317","138","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","13","42","35","192","125","75","72","7","11","1400000US06037135202","Census Tract 1352.02, Los Angeles County, California"
"179","120","179","120","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","108","88","0","19","48","65","23","36","0","19","1400000US06037135204","Census Tract 1352.04, Los Angeles County, California"
"102","79","63","57","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","17","28","7","12","0","13","39","47","0","13","39","41","1400000US06037135205","Census Tract 1352.05, Los Angeles County, California"
"341","145","253","94","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","21","35","4","6","3","6","34","38","22","22","57","54","112","62","88","112","1400000US06037137000","Census Tract 1370, Los Angeles County, California"
"1073","224","1028","215","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","235","137","496","155","183","94","36","40","78","66","45","41","1400000US06037137103","Census Tract 1371.03, Los Angeles County, California"
"154","79","141","78","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","38","46","73","61","23","28","7","12","0","13","13","21","1400000US06037137104","Census Tract 1371.04, Los Angeles County, California"
"738","181","670","143","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","104","99","333","143","216","117","17","27","0","13","0","13","68","88","1400000US06037137202","Census Tract 1372.02, Los Angeles County, California"
"345","129","345","129","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","18","29","0","13","0","13","86","83","20","33","100","76","78","57","43","51","0","13","0","13","0","13","1400000US06037137203","Census Tract 1372.03, Los Angeles County, California"
"38","25","31","22","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","6","9","0","13","8","12","17","15","7","10","1400000US06037137301","Census Tract 1373.01, Los Angeles County, California"
"150","74","109","64","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","21","0","13","15","17","36","39","44","51","41","67","1400000US06037137302","Census Tract 1373.02, Los Angeles County, California"
"454","116","441","118","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","28","42","0","13","6","10","10","17","108","59","83","53","24","25","41","36","141","73","13","19","1400000US06037137401","Census Tract 1374.01, Los Angeles County, California"
"558","261","531","262","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","58","72","0","19","31","49","12","20","0","19","0","19","0","19","20","32","147","96","48","54","127","201","88","71","27","31","1400000US06037137402","Census Tract 1374.02, Los Angeles County, California"
"1251","230","1251","230","16","25","0","19","55","85","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","18","32","77","49","187","173","316","129","440","170","127","85","15","25","0","19","1400000US06037137501","Census Tract 1375.01, Los Angeles County, California"
"564","147","555","146","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","10","15","84","61","89","60","89","62","85","72","100","57","98","85","9","14","1400000US06037137502","Census Tract 1375.02, Los Angeles County, California"
"65","29","44","26","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","6","9","10","14","0","13","28","21","21","18","1400000US06037137504","Census Tract 1375.04, Los Angeles County, California"
"336","116","305","106","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","13","0","13","31","32","54","51","25","26","187","103","31","38","1400000US06037138000","Census Tract 1380, Los Angeles County, California"
"1092","219","971","220","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","58","90","35","39","71","85","430","159","195","111","51","53","58","91","73","79","121","92","1400000US06037139001","Census Tract 1390.01, Los Angeles County, California"
"1040","249","971","249","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","23","35","7","23","94","81","0","19","397","148","62","50","218","149","79","91","91","97","69","71","1400000US06037139200","Census Tract 1392, Los Angeles County, California"
"231","105","231","105","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","12","0","13","0","13","7","12","0","13","0","13","0","13","0","13","0","13","48","72","27","44","9","15","24","42","9","16","99","73","0","13","1400000US06037139301","Census Tract 1393.01, Los Angeles County, California"
"1503","142","1492","142","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","36","44","0","19","12","18","0","19","0","19","27","29","0","19","0","19","23","24","214","86","138","95","600","167","298","110","133","85","0","19","11","19","11","17","1400000US06037139302","Census Tract 1393.02, Los Angeles County, California"
"1512","324","1500","324","12","18","0","13","0","13","0","13","20","31","0","13","149","237","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","15","9","13","40","39","340","130","352","178","302","100","219","73","43","40","0","13","0","13","12","14","1400000US06037139303","Census Tract 1393.03, Los Angeles County, California"
"847","117","839","118","10","16","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","6","11","0","13","0","13","0","13","78","68","21","23","192","98","180","79","215","95","50","36","55","55","21","19","11","13","8","11","1400000US06037139401","Census Tract 1394.01, Los Angeles County, California"
"132","58","120","57","0","13","0","13","0","13","0","13","0","13","0","13","0","13","6","10","0","13","0","13","0","13","0","13","0","13","0","13","0","13","7","11","0","13","0","13","0","13","6","9","13","15","27","41","44","31","17","28","12","12","1400000US06037139402","Census Tract 1394.02, Los Angeles County, California"
"348","85","348","85","0","13","0","13","0","13","0","13","0","13","19","30","23","36","19","30","0","13","0","13","0","13","0","13","0","13","10","17","0","13","0","13","0","13","53","44","36","28","44","37","7","12","67","61","42","49","28","36","0","13","1400000US06037139502","Census Tract 1395.02, Los Angeles County, California"
"1393","200","1329","199","0","13","0","13","0","13","23","37","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","12","155","108","244","99","466","124","311","120","59","42","63","54","0","13","64","53","1400000US06037139504","Census Tract 1395.04, Los Angeles County, California"
"1335","640","1318","638","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","82","134","0","13","0","13","99","72","71","54","898","624","126","50","42","44","0","13","0","13","17","21","1400000US06037139505","Census Tract 1395.05, Los Angeles County, California"
"850","256","850","256","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","31","37","0","13","0","13","0","13","0","13","0","13","45","68","0","13","0","13","114","95","514","243","92","58","54","66","0","13","0","13","0","13","1400000US06037139506","Census Tract 1395.06, Los Angeles County, California"
"862","233","862","233","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","16","25","101","97","88","76","186","113","30","37","196","146","51","53","194","157","0","19","1400000US06037139600","Census Tract 1396, Los Angeles County, California"
"548","196","522","191","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","145","145","70","74","83","85","142","106","82","61","26","41","1400000US06037139701","Census Tract 1397.01, Los Angeles County, California"
"123","43","123","43","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","11","17","14","16","24","24","26","29","48","36","0","13","1400000US06037139703","Census Tract 1397.03, Los Angeles County, California"
"178","187","178","187","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","35","55","113","184","30","35","0","13","1400000US06037139704","Census Tract 1397.04, Los Angeles County, California"
"78","61","43","50","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","43","50","35","39","1400000US06037139705","Census Tract 1397.05, Los Angeles County, California"
"52","40","43","36","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","19","21","0","13","0","13","24","29","9","15","1400000US06037139801","Census Tract 1398.01, Los Angeles County, California"
"120","86","85","66","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","25","30","37","54","23","25","35","53","1400000US06037139802","Census Tract 1398.02, Los Angeles County, California"
"1675","245","1675","245","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","22","0","13","0","13","110","91","244","115","565","223","400","227","119","73","135","108","88","68","0","13","1400000US06037141101","Census Tract 1411.01, Los Angeles County, California"
"927","201","881","199","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","13","0","13","97","108","95","42","320","103","194","117","117","66","31","24","19","21","46","48","1400000US06037141102","Census Tract 1411.02, Los Angeles County, California"
"1810","214","1810","214","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","147","85","252","157","790","160","385","98","114","67","83","45","39","37","0","13","1400000US06037141201","Census Tract 1412.01, Los Angeles County, California"
"817","176","799","179","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","13","0","13","0","13","25","40","0","13","12","16","54","40","260","80","314","162","40","42","30","25","56","68","18","29","1400000US06037141202","Census Tract 1412.02, Los Angeles County, California"
"1402","209","1402","209","0","13","0","13","0","13","0","13","0","13","10","14","0","13","18","32","0","13","0","13","0","13","10","16","0","13","0","13","0","13","8","13","0","13","30","23","192","184","443","118","443","116","172","71","76","56","0","13","0","13","1400000US06037141303","Census Tract 1413.03, Los Angeles County, California"
"832","135","818","131","0","13","0","13","0","13","7","11","0","13","64","77","0","13","0","13","12","15","0","13","0","13","0","13","0","13","0","13","8","12","15","19","8","13","75","63","72","45","183","67","220","94","137","88","9","16","8","12","14","21","1400000US06037141304","Census Tract 1413.04, Los Angeles County, California"
"942","190","942","190","0","13","0","13","0","13","12","20","33","55","0","13","0","13","0","13","0","13","10","18","33","54","14","22","0","13","0","13","0","13","0","13","0","13","0","13","117","147","157","102","277","145","136","102","76","65","77","68","0","13","1400000US06037141305","Census Tract 1413.05, Los Angeles County, California"
"1236","219","1197","206","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","80","72","55","52","90","83","358","185","357","154","163","95","56","57","38","52","39","54","1400000US06037141306","Census Tract 1413.06, Los Angeles County, California"
"956","161","945","163","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","9","14","8","12","0","19","32","40","59","51","172","87","277","95","184","126","112","80","45","39","47","41","11","21","1400000US06037141400","Census Tract 1414, Los Angeles County, California"
"26","29","26","29","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","26","29","0","13","1400000US06037141500","Census Tract 1415, Los Angeles County, California"
"206","118","197","117","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","17","28","0","13","0","13","62","77","118","80","9","16","1400000US06037141600","Census Tract 1416, Los Angeles County, California"
"85","76","85","76","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","8","13","0","13","0","13","26","26","51","69","0","13","1400000US06037141700","Census Tract 1417, Los Angeles County, California"
"383","141","383","141","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","15","23","0","13","0","13","0","13","0","13","0","13","0","13","10","17","49","69","53","43","93","63","112","77","42","58","9","15","0","13","1400000US06037143101","Census Tract 1431.01, Los Angeles County, California"
"890","124","890","124","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","14","23","0","13","41","65","68","72","287","118","305","125","102","61","17","27","56","67","0","13","1400000US06037143102","Census Tract 1431.02, Los Angeles County, California"
"1432","256","1432","256","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","30","38","197","120","321","117","424","163","349","213","64","46","47","54","0","13","0","13","1400000US06037143200","Census Tract 1432, Los Angeles County, California"
"1190","235","1155","225","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","36","53","8","32","171","110","166","109","395","157","46","56","117","114","70","77","146","161","35","56","1400000US06037143301","Census Tract 1433.01, Los Angeles County, California"
"876","187","876","187","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","147","147","92","73","318","138","245","133","24","37","9","17","41","46","0","13","1400000US06037143302","Census Tract 1433.02, Los Angeles County, California"
"1231","341","1151","341","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","10","18","71","62","371","162","118","87","293","254","134","104","154","113","80","91","1400000US06037143401","Census Tract 1434.01, Los Angeles County, California"
"436","74","434","70","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","36","38","9","15","127","65","63","60","79","55","63","64","13","26","44","59","2","17","1400000US06037143402","Census Tract 1434.02, Los Angeles County, California"
"1257","266","1227","266","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","34","55","44","36","336","190","365","124","201","113","0","19","247","139","30","34","1400000US06037143500","Census Tract 1435, Los Angeles County, California"
